NAME,RATINGS,LINK
Dorje & The Bell,"4.5
DINING",https://www.zomato.com/pune/dorje-the-bell-pimple-nilakh?zrp_bid=0&zrp_pid=14
Anna Idli,"4.5
DINING",https://www.zomato.com/pune/anna-idli-baner?zrp_bid=0&zrp_pid=14
Paasha - JW Marriott Pune,"4.8
DINING",https://www.zomato.com/pune/paasha-jw-marriott-pune-senapati-bapat-road?zrp_bid=0&zrp_pid=14
Pagdandi Books Chai Cafe,"4.9
DINING",https://www.zomato.com/pune/pagdandi-books-chai-cafe-baner?zrp_bid=0&zrp_pid=14
Gong,"4.9
DINING",https://www.zomato.com/pune/gong-baner?zrp_bid=0&zrp_pid=14
Baker's Hut,"4.5
DINING",https://www.zomato.com/pune/bakers-hut-nigdi?zrp_bid=0&zrp_pid=14
Toit,"4.7
DINING",https://www.zomato.com/pune/toit-1-kalyani-nagar?zrp_bid=0&zrp_pid=14
Arthur's Theme,"4.6
DINING",https://www.zomato.com/pune/arthurs-theme-koregaon-park?zrp_bid=0&zrp_pid=14
L'Apicio,"4.7
DINING",https://www.zomato.com/pune/lapicio-balewadi?zrp_bid=0&zrp_pid=14
Cafe Paashh,"4.8
DINING",https://www.zomato.com/pune/cafe-paashh-kalyani-nagar?zrp_bid=0&zrp_pid=14
Asia Kitchen By Mainland China,"4.7
DINING",https://www.zomato.com/pune/asia-kitchen-by-mainland-china-dhole-patil-road?zrp_bid=0&zrp_pid=14
LKD | La Kheer Deli,"4.6
DINING",https://www.zomato.com/la-kheer-deli-1-food-truck?zrp_bid=0&zrp_pid=14
Hotel Jagdamba,"4.5
DINING",https://www.zomato.com/pune/hotel-jagdamba-shivapur?zrp_bid=0&zrp_pid=14
Nisarg,"4.5
DINING",https://www.zomato.com/pune/nisarg-erandwane?zrp_bid=0&zrp_pid=14
Mughal Mahal,"4.6
DINING",https://www.zomato.com/pune/mughal-mahal-hinjawadi?zrp_bid=0&zrp_pid=14
Coriander Kitchen - Conrad Pune,"4.6
DINING",https://www.zomato.com/pune/coriander-kitchen-conrad-pune-bund-garden?zrp_bid=0&zrp_pid=14
