NAME,RATINGS,LINK
Kerala Cafe,"4.5
DINING",https://www.zomato.com/mumbai/kerala-cafe-1-vasai?zrp_bid=0&zrp_pid=14
.,.,.
Quattro Ristorante,"4.5
DINING",https://www.zomato.com/mumbai/quattro-ristorante-lower-parel?zrp_bid=0&zrp_pid=14
Santé Spa Cuisine,"4.6
DINING",https://www.zomato.com/mumbai/sant%C3%A9-spa-cuisine-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Aaswad,"4.6
DINING",https://www.zomato.com/mumbai/aaswad-2-dadar-west?zrp_bid=0&zrp_pid=14
Tea And Conversations,"4.5
DINING",https://www.zomato.com/mumbai/tea-and-conversations-mulund-west?zrp_bid=0&zrp_pid=14
Jai Jawan,"4.5
DINING",https://www.zomato.com/mumbai/jai-jawan-linking-road-bandra-west?zrp_bid=0&zrp_pid=14
.,.,.
Family Tree,"4.6
DINING",https://www.zomato.com/mumbai/family-tree-panch-pakhadi-thane-west?zrp_bid=0&zrp_pid=14
Hotel Sunny,"4.5
DINING",https://www.zomato.com/mumbai/hotel-sunny-chembur?zrp_bid=0&zrp_pid=14
AB's - Absolute Barbecues,"4.5
DINING",https://www.zomato.com/mumbai/abs-absolute-barbecues-powai?zrp_bid=0&zrp_pid=14
Le 15 Patisserie,"4.5
DINING",https://www.zomato.com/mumbai/le-15-patisserie-pali-hill-bandra-west?zrp_bid=0&zrp_pid=14
Nara,"4.5
DINING",https://www.zomato.com/mumbai/nara-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Kaala Chashma,"4.5
DINING",https://www.zomato.com/mumbai/kaala-chashma-wagle-estate-thane-west-thane?zrp_bid=0&zrp_pid=14
The Sassy Spoon,"4.5
DINING",https://www.zomato.com/mumbai/the-sassy-spoon-nariman-point?zrp_bid=0&zrp_pid=14
Gajalee,"4.5
DINING",https://www.zomato.com/mumbai/gajalee-vile-parle-east?zrp_bid=0&zrp_pid=14
Mirchi & Mime,"4.9
DINING",https://www.zomato.com/mumbai/mirchi-mime-powai?zrp_bid=0&zrp_pid=14
The Union Bar & Eating House,"4.7
DINING",https://www.zomato.com/mumbai/the-union-bar-eating-house-vashi-navi-mumbai?zrp_bid=0&zrp_pid=14
.,.,.
Birista - Biryanis & Kebabs,"4.6
DINING",https://www.zomato.com/mumbai/birista-biryanis-kebabs-cbd-belapur-navi-mumbai?zrp_bid=0&zrp_pid=14
O Pedro,"4.8
DINING",https://www.zomato.com/mumbai/o-pedro-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Sin City Rooftop Resto & Lounge,"4.5
DINING",https://www.zomato.com/mumbai/sin-city-rooftop-resto-lounge-andheri-lokhandwala?zrp_bid=0&zrp_pid=14
Arya Bhavan,"4.6
DINING",https://www.zomato.com/mumbai/arya-bhavan-matunga-east?zrp_bid=0&zrp_pid=14
Seven Kitchens - The St. Regis Mumbai,"4.5
DINING",https://www.zomato.com/mumbai/seven-kitchens-the-st-regis-mumbai-lower-parel?zrp_bid=0&zrp_pid=14
Doolally Taproom,"4.7
DINING",https://www.zomato.com/mumbai/doolally-taproom-veera-desai-area?zrp_bid=0&zrp_pid=14
Prakash Shakahari Upahaar Kendra,"4.8
DINING",https://www.zomato.com/mumbai/prakash-shakahari-upahaar-kendra-dadar-shivaji-park?zrp_bid=0&zrp_pid=14
"Thai Pavilion - President, Mumbai - IHCL SeleQtions","4.7
DINING",https://www.zomato.com/mumbai/thai-pavilion-president-mumbai-ihcl-seleqtions-cuffe-parade?zrp_bid=0&zrp_pid=14
Natural Ice Cream,"4.7
DINING",https://www.zomato.com/mumbai/natural-ice-cream-powai?zrp_bid=0&zrp_pid=14
.,.,.
Cafe Madras,"4.8
DINING",https://www.zomato.com/mumbai/cafe-madras-matunga-east?zrp_bid=0&zrp_pid=14
.,.,.
Vinay Health Home,"4.7
DINING",https://www.zomato.com/mumbai/vinay-health-home-charni-road?zrp_bid=0&zrp_pid=14
Sweetish House Mafia,"4.5
DINING",https://www.zomato.com/mumbai/sweetish-house-mafia-1-lower-parel?zrp_bid=0&zrp_pid=14
Dum Pukht - ITC Maratha,"4.5
DINING",https://www.zomato.com/mumbai/dum-pukht-itc-maratha-chakala?zrp_bid=0&zrp_pid=14
Burma Burma,"4.8
DINING",https://www.zomato.com/mumbai/burma-burma-fort?zrp_bid=0&zrp_pid=14
Garde Manger Cafe,"4.6
DINING",https://www.zomato.com/mumbai/garde-manger-cafe-vile-parle-east?zrp_bid=0&zrp_pid=14
.,.,.
Hindu Lunch Home,"4.5
DINING",https://www.zomato.com/mumbai/hindu-lunch-home-ghansoli-navi-mumbai?zrp_bid=0&zrp_pid=14
.,.,.
