NAME,RATINGS,LINK
Windmills Craftworks,"4.8
DINING",https://www.zomato.com/bangalore/windmills-craftworks-whitefield?zrp_bid=0&zrp_pid=14
.,.,.
.,.,.
S N Refreshments,"4.6
DINING",https://www.zomato.com/bangalore/s-n-refreshments-jp-nagar?zrp_bid=0&zrp_pid=14
Matteo Coffea,"4.5
DINING",https://www.zomato.com/bangalore/matteo-coffea-church-street?zrp_bid=0&zrp_pid=14
Ssaffron - Shangri-La Hotel,"4.5
DINING",https://www.zomato.com/bangalore/ssaffron-shangri-la-hotel-vasanth-nagar-bangalore?zrp_bid=0&zrp_pid=14
Punjab Grill,"4.5
DINING",https://www.zomato.com/bangalore/punjab-grill-malleshwaram?zrp_bid=0&zrp_pid=14
Mangalore Pearl - Seafood Restaurant,"4.6
DINING",https://www.zomato.com/bangalore/mangalore-pearl-seafood-restaurant-1-ulsoor-bangalore?zrp_bid=0&zrp_pid=14
China Pearl,"4.5
DINING",https://www.zomato.com/bangalore/china-pearl-koramangala-6th-block?zrp_bid=0&zrp_pid=14
.,.,.
Lavonne,"4.6
DINING",https://www.zomato.com/bangalore/lavonne-indiranagar?zrp_bid=0&zrp_pid=14
Hotel Tom's Restaurant,"4.5
DINING",https://www.zomato.com/bangalore/hotel-toms-restaurant-brigade-road-bangalore?zrp_bid=0&zrp_pid=14
The Big Barbeque,"4.5
DINING",https://www.zomato.com/bangalore/the-big-barbeque-electronic-city-bangalore?zrp_bid=0&zrp_pid=14
Levitate Brewery And Kitchen,"4.5
DINING",https://www.zomato.com/bangalore/levitate-brewery-and-kitchen-jp-nagar-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
Once Upon A Flame,"4.6
DINING",https://www.zomato.com/bangalore/once-upon-a-flame-hsr?zrp_bid=0&zrp_pid=14
The Hole In The Wall Cafe,"4.6
DINING",https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
Nasi And Mee,"4.6
DINING",https://www.zomato.com/bangalore/nasi-and-mee-koramangala-4th-block?zrp_bid=0&zrp_pid=14
