,NAME,RATINGS,LINK
21,['The Terrace - A Maiden Affair'],['4.5\nDINING'],['https://www.zomato.com/mumbai/the-terrace-a-maiden-affair-andheri-lokhandwala?zrp_bid=1136701&zrp_pid=14&zrp_cid=10027468']
22,['Yauatcha'],['4.9\nDINING'],['https://www.zomato.com/mumbai/yauatcha-bandra-kurla-complex?zrp_bid=1137096&zrp_pid=14&zrp_cid=10027863']
23,['Glocal Junction'],['4.5\nDINING'],['https://www.zomato.com/mumbai/glocal-junction-worli?zrp_bid=1137085&zrp_pid=14&zrp_cid=10027852']
24,['Toit'],['4.5\nDINING'],['https://www.zomato.com/mumbai/toit-lower-parel?zrp_bid=1136891&zrp_pid=14&zrp_cid=10027658']
25,['Toit'],['4.5\nDINING'],['https://www.zomato.com/mumbai/toit-lower-parel?zrp_bid=1136891&zrp_pid=14&zrp_cid=10027658']
26,['Bastian'],['4.7\nDINING'],['https://www.zomato.com/mumbai/bastian-linking-road-bandra-west?zrp_bid=1136798&zrp_pid=14&zrp_cid=10027565']
27,['The Munchbox'],['4.5\nDINING'],['https://www.zomato.com/mumbai/the-munchbox-malad-west?zrp_bid=1137045&zrp_pid=14&zrp_cid=10027812']
28,['Toit'],['4.5\nDINING'],['https://www.zomato.com/mumbai/toit-lower-parel?zrp_bid=1136891&zrp_pid=14&zrp_cid=10027658']
29,['Yazu - Pan Asian Supper Club'],['4.8\nDINING'],['https://www.zomato.com/mumbai/yazu-pan-asian-supper-club-oshiwara?zrp_bid=1136887&zrp_pid=14&zrp_cid=10027654']
30,['Rocky Star Cocktail Bar'],['4.5\nDINING'],['https://www.zomato.com/mumbai/rocky-star-cocktail-bar-worli?zrp_bid=1129090&zrp_pid=14&zrp_cid=10019857']
31,['Bombay To Barcelona Library Café'],['4.9\nDINING'],['https://www.zomato.com/mumbai/bombay-to-barcelona-library-caf%C3%A9-marol?zrp_bid=1137065&zrp_pid=14&zrp_cid=10027832']
32,['Veranda'],['4.5\nDINING'],['https://www.zomato.com/mumbai/veranda-pali-hill-bandra-west?zrp_bid=1114493&zrp_pid=14&zrp_cid=10005264']
33,['Angrezi Patiyalaa'],['4.6\nDINING'],['https://www.zomato.com/mumbai/angrezi-patiyalaa-khopat-thane-west-thane?zrp_bid=1136781&zrp_pid=14&zrp_cid=10027548']
34,['Bombay To Barcelona Library Café'],['4.9\nDINING'],['https://www.zomato.com/mumbai/bombay-to-barcelona-library-caf%C3%A9-marol?zrp_bid=1137065&zrp_pid=14&zrp_cid=10027832']
35,['Ishaara'],['4.7\nDINING'],['https://www.zomato.com/mumbai/ishaara-lower-parel?zrp_bid=1137115&zrp_pid=14&zrp_cid=10027882']
36,['Ishaara'],['4.7\nDINING'],['https://www.zomato.com/mumbai/ishaara-lower-parel?zrp_bid=1137115&zrp_pid=14&zrp_cid=10027882']
37,['Prithvi Cafe'],['4.5\nDINING'],['https://www.zomato.com/mumbai/prithvi-cafe-juhu?zrp_bid=1136067&zrp_pid=14&zrp_cid=10026834']
38,['The Tanjore Tiffin Room'],['4.8\nDINING'],['https://www.zomato.com/mumbai/the-tanjore-tiffin-room-versova?zrp_bid=985369&zrp_pid=14&zrp_cid=957327']
39,['Yazu - Pan Asian Supper Club'],['4.8\nDINING'],['https://www.zomato.com/mumbai/yazu-pan-asian-supper-club-oshiwara?zrp_bid=1136887&zrp_pid=14&zrp_cid=10027654']
40,['London Taxi'],['4.5\nDINING'],['https://www.zomato.com/mumbai/london-taxi-lower-parel?zrp_bid=1137127&zrp_pid=14&zrp_cid=10027894']
41,['Angrezi Patiyalaa'],['4.6\nDINING'],['https://www.zomato.com/mumbai/angrezi-patiyalaa-khopat-thane-west-thane?zrp_bid=1136781&zrp_pid=14&zrp_cid=10027548']
42,['Yauatcha'],['4.9\nDINING'],['https://www.zomato.com/mumbai/yauatcha-bandra-kurla-complex?zrp_bid=1137096&zrp_pid=14&zrp_cid=10027863']
43,['Foo Phoenix Palladium'],['4.6\nDINING'],['https://www.zomato.com/mumbai/foo-phoenix-palladium-lower-parel?zrp_bid=1136707&zrp_pid=14&zrp_cid=10027474']
44,['The Tanjore Tiffin Room'],['4.8\nDINING'],['https://www.zomato.com/mumbai/the-tanjore-tiffin-room-versova?zrp_bid=985369&zrp_pid=14&zrp_cid=957327']
45,['Veranda'],['4.5\nDINING'],['https://www.zomato.com/mumbai/veranda-pali-hill-bandra-west?zrp_bid=1114493&zrp_pid=14&zrp_cid=10005264']
